Year,Month,State,Actual_IIP,monthly_exc_rate,CPI,Date,Inflation
2014,1,ALL India,4.8,62.08,113.6,01/01/14,8.6
2014,2,ALL India,5.2,62.25,113.6,01/02/14,7.88
2014,3,ALL India,2.9,61.01,114.2,01/03/14,8.25
2014,4,ALL India,3.9,60.36,115.1,01/04/14,8.48
2014,5,ALL India,4.7,59.31,115.8,01/05/14,8.33
2014,6,ALL India,8.3,59.73,116.7,01/06/14,6.77
2014,7,ALL India,5.4,60.06,119.2,01/07/14,7.39
2014,8,ALL India,3.5,60.9,120.3,01/08/14,7.03
2014,9,ALL India,4.3,60.86,120.1,01/09/14,5.63
2014,10,ALL India,0.3,61.34,120.1,01/10/14,4.62
2014,11,ALL India,7.4,61.7,120.1,01/11/14,3.27
2014,12,ALL India,4,62.75,119.4,01/12/14,4.28
2015,1,ALL India,1.8,62.23,119.5,01/01/15,5.19
2015,2,ALL India,3,62.04,119.7,01/02/15,5.37
2015,3,ALL India,2.4,62.45,120.2,01/03/15,5.25
2015,4,ALL India,0.7,62.75,120.7,01/04/15,4.87
2015,5,ALL India,1.8,63.8,121.6,01/05/15,5.01
2015,6,ALL India,1,63.86,123,01/06/15,5.4
2015,7,ALL India,1.3,63.64,123.6,01/07/15,3.69
2015,8,ALL India,3.7,65.07,124.8,01/08/15,3.74
2015,9,ALL India,2.2,66.22,125.4,01/09/15,4.41
2015,10,ALL India,9,65.06,126.1,01/10/15,5
2015,11,ALL India,0.8,66.12,126.6,01/11/15,5.41
2015,12,ALL India,3.1,66.6,126.1,01/12/15,5.61
2016,1,ALL India,4,67.25,126.3,01/01/16,5.69
2016,2,ALL India,7.2,68.24,126,01/02/16,5.26
2016,3,ALL India,5.2,67.02,126,01/03/16,4.83
2016,4,ALL India,6,66.47,127.3,01/04/16,5.47
2016,5,ALL India,7.3,66.91,128.6,01/05/16,5.76
2016,6,ALL India,8,67.3,130.1,01/06/16,5.77
2016,7,ALL India,4.5,67.21,131.1,01/07/16,6.07
2016,8,ALL India,4,66.94,131.1,01/08/16,5.05
2016,9,ALL India,5,66.74,130.9,01/09/16,4.39
2016,10,ALL India,4.2,66.75,131.4,01/10/16,4.2
2016,11,ALL India,5.1,67.63,131.2,01/11/16,3.63
2016,12,ALL India,2.4,67.9,130.4,01/12/16,3.41
